gene1,gene2,D,Wn,hap_num,sample_num
HLA-A,HLA-B,0.776999878304525,0.438111487803064,893,836
HLA-B,HLA-A,0.776999878304525,0.438111487803064,893,836
HLA-A,HLA-C,0.712957860297628,0.44641388439538,804,842
HLA-C,HLA-A,0.712957860297628,0.44641388439538,804,842
HLA-A,HLA-DMA,0.379527875860234,0.598231419155369,393,855
HLA-DMA,HLA-A,0.379527875860234,0.598231419155369,393,855
HLA-A,HLA-DMB,0.425220759887662,0.455014793383373,500,840
HLA-DMB,HLA-A,0.425220759887662,0.455014793383373,500,840
HLA-A,HLA-DOA,0.58096705382798,0.4422280983511,630,827
HLA-DOA,HLA-A,0.58096705382798,0.4422280983511,630,827
HLA-A,HLA-DOB,0.407249123039006,0.421651457718828,453,820
HLA-DOB,HLA-A,0.407249123039006,0.421651457718828,453,820
HLA-A,HLA-DPA1,0.549917769757062,0.467249160684794,600,848
HLA-DPA1,HLA-A,0.549917769757062,0.467249160684794,600,848
HLA-A,HLA-DPA2,0.385599785328798,0.450834374020037,403,849
HLA-DPA2,HLA-A,0.385599785328798,0.450834374020037,403,849
HLA-A,HLA-DPB1,0.753323788121843,0.472517337953461,1049,855
HLA-DPB1,HLA-A,0.753323788121843,0.472517337953461,1049,855
HLA-A,HLA-DPB2,0.439830529125495,0.468150851069501,420,855
HLA-DPB2,HLA-A,0.439830529125495,0.468150851069501,420,855
HLA-A,HLA-DQA1,0.595275302095298,0.412382439241624,758,855
HLA-DQA1,HLA-A,0.595275302095298,0.412382439241624,758,855
HLA-A,HLA-DQA2,0.445674539760422,0.449481190828484,491,855
HLA-DQA2,HLA-A,0.445674539760422,0.449481190828484,491,855
HLA-A,HLA-DQB1,0.674975444127097,0.441073587001114,850,855
HLA-DQB1,HLA-A,0.674975444127097,0.441073587001114,850,855
HLA-A,HLA-DQB2,0.436105150422265,0.40982772075135,448,833
HLA-DQB2,HLA-A,0.436105150422265,0.40982772075135,448,833
HLA-A,HLA-DRA,0.575467143691213,0.425370372377211,779,855
HLA-DRA,HLA-A,0.575467143691213,0.425370372377211,779,855
HLA-A,HLA-DRB1,0.769808047550148,0.433597603554674,1118,855
HLA-DRB1,HLA-A,0.769808047550148,0.433597603554674,1118,855
HLA-A,HLA-DRB3,0.415634061603265,0.418231904751011,484,753
HLA-DRB3,HLA-A,0.415634061603265,0.418231904751011,484,753
HLA-A,HLA-DRB4,0.41209339242589,0.464535802495586,523,854
HLA-DRB4,HLA-A,0.41209339242589,0.464535802495586,523,854
HLA-A,HLA-DRB5,0.40047757901008,0.434912211228707,504,850
HLA-DRB5,HLA-A,0.40047757901008,0.434912211228707,504,850
HLA-A,HLA-E,0.450890617312303,0.388000376973933,468,855
HLA-E,HLA-A,0.450890617312303,0.388000376973933,468,855
HLA-A,HLA-F,0.818419300076438,0.577345194077488,432,838
HLA-F,HLA-A,0.818419300076438,0.577345194077488,432,838
HLA-A,HLA-G,0.889357097564438,0.602950628976278,384,788
HLA-G,HLA-A,0.889357097564438,0.602950628976278,384,788
HLA-A,HLA-H,0.90795154511612,0.708256532711122,276,670
HLA-H,HLA-A,0.90795154511612,0.708256532711122,276,670
HLA-A,HLA-J,0.879507938467035,0.784001780888897,316,808
HLA-J,HLA-A,0.879507938467035,0.784001780888897,316,808
HLA-A,HLA-K,0.86448098005341,0.895373426144651,249,683
HLA-K,HLA-A,0.86448098005341,0.895373426144651,249,683
HLA-A,HLA-L,0.570422684787942,0.611274934607246,326,831
HLA-L,HLA-A,0.570422684787942,0.611274934607246,326,831
HLA-A,HLA-N,0.439062204585895,0.548996100218773,153,207
HLA-N,HLA-A,0.439062204585895,0.548996100218773,153,207
HLA-A,HLA-P,0.815777358441156,0.843305884556126,279,798
HLA-P,HLA-A,0.815777358441156,0.843305884556126,279,798
HLA-A,HLA-S,0.760843281380928,0.785218497528449,56,44
HLA-S,HLA-A,0.760843281380928,0.785218497528449,56,44
HLA-A,HLA-U,0.768414670751904,0.61742648937274,302,855
HLA-U,HLA-A,0.768414670751904,0.61742648937274,302,855
HLA-A,HLA-V,0.783957222942985,0.765719108654805,143,247
HLA-V,HLA-A,0.783957222942985,0.765719108654805,143,247
HLA-A,HLA-W,0.884200073574938,0.772083456642912,312,793
HLA-W,HLA-A,0.884200073574938,0.772083456642912,312,793
HLA-A,MICA,0.509298839068362,0.543166693872743,595,855
MICA,HLA-A,0.509298839068362,0.543166693872743,595,855
HLA-A,MICB,0.402329360790567,0.445449542671972,455,855
MICB,HLA-A,0.402329360790567,0.445449542671972,455,855
HLA-A,TAP1,0.375538414027943,0.605430777249246,388,852
TAP1,HLA-A,0.375538414027943,0.605430777249246,388,852
HLA-A,TAP2,0.436183644925855,0.51919076454151,494,850
TAP2,HLA-A,0.436183644925855,0.51919076454151,494,850
HLA-B,HLA-C,0.911114985266219,0.582063454535895,471,924
HLA-C,HLA-B,0.911114985266219,0.582063454535895,471,924
HLA-B,HLA-DMB,0.455928026748557,0.440547638728469,535,925
HLA-DMB,HLA-B,0.455928026748557,0.440547638728469,535,925
HLA-B,HLA-DOA,0.626563161379528,0.36669798513746,694,897
HLA-DOA,HLA-B,0.626563161379528,0.36669798513746,694,897
HLA-B,HLA-DOB,0.486526168901074,0.446511684486051,477,888
HLA-DOB,HLA-B,0.486526168901074,0.446511684486051,477,888
HLA-B,HLA-DPB1,0.802923426793703,0.419220855206936,1158,943
HLA-DPB1,HLA-B,0.802923426793703,0.419220855206936,1158,943
HLA-B,HLA-DPB2,0.472188746228261,0.446897456244631,452,944
HLA-DPB2,HLA-B,0.472188746228261,0.446897456244631,452,944
HLA-B,HLA-DQA2,0.482802036992668,0.356988286267806,504,944
HLA-DQA2,HLA-B,0.482802036992668,0.356988286267806,504,944
HLA-B,HLA-DRA,0.64960838902379,0.419253015421231,826,944
HLA-DRA,HLA-B,0.64960838902379,0.419253015421231,826,944
HLA-B,HLA-DRB1,0.815180328519227,0.431566247162187,1233,944
HLA-DRB1,HLA-B,0.815180328519227,0.431566247162187,1233,944
HLA-B,HLA-DRB3,0.46138524038376,0.438493085312419,521,820
HLA-DRB3,HLA-B,0.46138524038376,0.438493085312419,521,820
HLA-B,HLA-DRB4,0.439138265146338,0.372215840369922,575,943
HLA-DRB4,HLA-B,0.439138265146338,0.372215840369922,575,943
HLA-B,HLA-DRB5,0.426105752554572,0.366370279399659,559,934
HLA-DRB5,HLA-B,0.426105752554572,0.366370279399659,559,934
HLA-B,HLA-F,0.628714721481917,0.425613034497096,681,905
HLA-F,HLA-B,0.628714721481917,0.425613034497096,681,905
HLA-B,HLA-H,0.641731765789919,0.45108941645262,547,728
HLA-H,HLA-B,0.641731765789919,0.45108941645262,547,728
HLA-B,HLA-K,0.487340827466834,0.50889257372278,390,727
HLA-K,HLA-B,0.487340827466834,0.50889257372278,390,727
HLA-B,HLA-L,0.490334713744526,0.477202435359301,367,910
HLA-L,HLA-B,0.490334713744526,0.477202435359301,367,910
HLA-B,HLA-N,0.497461527761715,0.571608268146261,171,208
HLA-N,HLA-B,0.497461527761715,0.571608268146261,171,208
HLA-B,HLA-S,0.915156208839964,0.903568030192074,58,44
HLA-S,HLA-B,0.915156208839964,0.903568030192074,58,44
HLA-B,HLA-V,0.560919008228816,0.593148654990145,193,244
HLA-V,HLA-B,0.560919008228816,0.593148654990145,193,244
HLA-B,HLA-W,0.522308482807111,0.453926403471354,511,846
HLA-W,HLA-B,0.522308482807111,0.453926403471354,511,846
HLA-C,HLA-DPB1,0.735905294342751,0.43171405636672,1091,970
HLA-DPB1,HLA-C,0.735905294342751,0.43171405636672,1091,970
HLA-C,HLA-DPB2,0.397064686072507,0.391371481762311,323,972
HLA-DPB2,HLA-C,0.397064686072507,0.391371481762311,323,972
HLA-C,HLA-DRB4,0.354680703899474,0.325137698885505,460,972
HLA-DRB4,HLA-C,0.354680703899474,0.325137698885505,460,972
HLA-C,HLA-DRB5,0.352739592493823,0.341192760801553,423,958
HLA-DRB5,HLA-C,0.352739592493823,0.341192760801553,423,958
HLA-C,HLA-L,0.43074707675043,0.451977626208267,266,923
HLA-L,HLA-C,0.43074707675043,0.451977626208267,266,923
HLA-C,HLA-S,0.837185840600608,0.860750983671965,50,44
HLA-S,HLA-C,0.837185840600608,0.860750983671965,50,44
HLA-C,HLA-V,0.45048046157348,0.465437603966046,146,247
HLA-V,HLA-C,0.45048046157348,0.465437603966046,146,247
HLA-C,HLA-W,0.444143730039959,0.403227705924325,394,863
HLA-W,HLA-C,0.444143730039959,0.403227705924325,394,863
HLA-DMA,HLA-B,0.411296162212568,0.414588474587849,410,943
HLA-B,HLA-DMA,0.411296162212568,0.414588474587849,410,943
HLA-DMA,HLA-C,0.33775691378462,0.342446191911736,320,970
HLA-C,HLA-DMA,0.33775691378462,0.342446191911736,320,970
HLA-DMA,HLA-DMB,0.496920031560819,0.23788133476526,78,967
HLA-DMB,HLA-DMA,0.496920031560819,0.23788133476526,78,967
HLA-DMA,HLA-DOA,0.312593950200982,0.198524969073245,159,938
HLA-DOA,HLA-DMA,0.312593950200982,0.198524969073245,159,938
HLA-DMA,HLA-DOB,0.212371279988905,0.1500340979184,63,928
HLA-DOB,HLA-DMA,0.212371279988905,0.1500340979184,63,928
HLA-DMA,HLA-DPA1,0.252320109908949,0.229827251664407,143,979
HLA-DPA1,HLA-DMA,0.252320109908949,0.229827251664407,143,979
HLA-DMA,HLA-DPA2,0.102025288557217,0.122886758078855,49,981
HLA-DPA2,HLA-DMA,0.102025288557217,0.122886758078855,49,981
HLA-DMA,HLA-DPB1,0.460494469921768,0.376979310556573,567,1001
HLA-DPB1,HLA-DMA,0.460494469921768,0.376979310556573,567,1001
HLA-DMA,HLA-DPB2,0.154686153785966,0.144346901412813,51,1007
HLA-DPB2,HLA-DMA,0.154686153785966,0.144346901412813,51,1007
HLA-DMA,HLA-DQA1,0.268368269040278,0.239853809120658,196,1003
HLA-DQA1,HLA-DMA,0.268368269040278,0.239853809120658,196,1003
HLA-DMA,HLA-DQA2,0.278691720352572,0.148231111427361,86,1004
HLA-DQA2,HLA-DMA,0.278691720352572,0.148231111427361,86,1004
HLA-DMA,HLA-DQB1,0.360066320264953,0.541012645228723,368,998
HLA-DQB1,HLA-DMA,0.360066320264953,0.541012645228723,368,998
HLA-DMA,HLA-DQB2,0.251852920532863,0.14006744818236,79,946
HLA-DQB2,HLA-DMA,0.251852920532863,0.14006744818236,79,946
HLA-DMA,HLA-DRA,0.243795452055319,0.174423700071762,199,1005
HLA-DRA,HLA-DMA,0.243795452055319,0.174423700071762,199,1005
HLA-DMA,HLA-DRB1,0.4208229480111,0.380446062485838,575,1007
HLA-DRB1,HLA-DMA,0.4208229480111,0.380446062485838,575,1007
HLA-DMA,HLA-DRB3,0.201931026209855,0.209984330960704,123,856
HLA-DRB3,HLA-DMA,0.201931026209855,0.209984330960704,123,856
HLA-DMA,HLA-DRB4,0.147018222660522,0.227657323460234,107,1004
HLA-DRB4,HLA-DMA,0.147018222660522,0.227657323460234,107,1004
HLA-DMA,HLA-DRB5,0.107338444883464,0.107305555414895,78,987
HLA-DRB5,HLA-DMA,0.107338444883464,0.107305555414895,78,987
HLA-DMA,HLA-E,0.124459000713285,0.126443683891108,92,999
HLA-E,HLA-DMA,0.124459000713285,0.126443683891108,92,999
HLA-DMA,HLA-F,0.21784664515708,0.305711429748635,157,937
HLA-F,HLA-DMA,0.21784664515708,0.305711429748635,157,937
HLA-DMA,HLA-G,0.238119000385987,0.305389637655348,196,880
HLA-G,HLA-DMA,0.238119000385987,0.305389637655348,196,880
HLA-DMA,HLA-H,0.214497638881976,0.178421502779027,113,743
HLA-H,HLA-DMA,0.214497638881976,0.178421502779027,113,743
HLA-DMA,HLA-J,0.172390328729273,0.147134868814387,100,907
HLA-J,HLA-DMA,0.172390328729273,0.147134868814387,100,907
HLA-DMA,HLA-K,0.106982590296707,0.142732928047025,52,750
HLA-K,HLA-DMA,0.106982590296707,0.142732928047025,52,750
HLA-DMA,HLA-L,0.126834416604194,0.149022675388374,44,944
HLA-L,HLA-DMA,0.126834416604194,0.149022675388374,44,944
HLA-DMA,HLA-N,0.114382445980358,0.13794941752206,24,208
HLA-N,HLA-DMA,0.114382445980358,0.13794941752206,24,208
HLA-DMA,HLA-P,0.120573012547103,0.149210051909242,41,898
HLA-P,HLA-DMA,0.120573012547103,0.149210051909242,41,898
HLA-DMA,HLA-S,0.350583334920265,0.237927777579991,25,44
HLA-S,HLA-DMA,0.350583334920265,0.237927777579991,25,44
HLA-DMA,HLA-V,0.157189125816388,0.19271730354358,23,247
HLA-V,HLA-DMA,0.157189125816388,0.19271730354358,23,247
HLA-DMA,HLA-W,0.150699603272724,0.122813298427923,72,872
HLA-W,HLA-DMA,0.150699603272724,0.122813298427923,72,872
HLA-DMA,MICA,0.193168324533014,0.344043510644475,163,1007
MICA,HLA-DMA,0.193168324533014,0.344043510644475,163,1007
HLA-DMA,MICB,0.132418262714653,0.251569380979549,96,1007
MICB,HLA-DMA,0.132418262714653,0.251569380979549,96,1007
HLA-DMA,TAP1,0.150387606227899,0.139262016888494,50,987
TAP1,HLA-DMA,0.150387606227899,0.139262016888494,50,987
HLA-DMA,TAP2,0.171034049888539,0.109319657365825,76,982
TAP2,HLA-DMA,0.171034049888539,0.109319657365825,76,982
HLA-DMB,HLA-C,0.377555622983231,0.387940424288805,411,943
HLA-C,HLA-DMB,0.377555622983231,0.387940424288805,411,943
HLA-DMB,HLA-DPB1,0.556115921202628,0.500202628034846,635,967
HLA-DPB1,HLA-DMB,0.556115921202628,0.500202628034846,635,967
HLA-DMB,HLA-DPB2,0.202243566248707,0.179835675866183,81,968
HLA-DPB2,HLA-DMB,0.202243566248707,0.179835675866183,81,968
HLA-DMB,HLA-DRB4,0.162012359337198,0.157400802099933,160,967
HLA-DRB4,HLA-DMB,0.162012359337198,0.157400802099933,160,967
HLA-DMB,HLA-DRB5,0.13703970141854,0.143407847835941,132,953
HLA-DRB5,HLA-DMB,0.13703970141854,0.143407847835941,132,953
HLA-DMB,HLA-L,0.147574800519229,0.150988059148727,72,926
HLA-L,HLA-DMB,0.147574800519229,0.150988059148727,72,926
HLA-DMB,HLA-S,0.389216910168276,0.445520226024042,36,44
HLA-S,HLA-DMB,0.389216910168276,0.445520226024042,36,44
HLA-DMB,HLA-V,0.142123722956766,0.184069220020584,50,247
HLA-V,HLA-DMB,0.142123722956766,0.184069220020584,50,247
HLA-DMB,HLA-W,0.152395002665783,0.147305801853687,121,857
HLA-W,HLA-DMB,0.152395002665783,0.147305801853687,121,857
HLA-DOA,HLA-C,0.526851713625329,0.382271343862987,560,916
HLA-C,HLA-DOA,0.526851713625329,0.382271343862987,560,916
HLA-DOA,HLA-DMB,0.355503032397998,0.286056105635661,227,915
HLA-DMB,HLA-DOA,0.355503032397998,0.286056105635661,227,915
HLA-DOA,HLA-DOB,0.3038693074982,0.281758004313893,199,883
HLA-DOB,HLA-DOA,0.3038693074982,0.281758004313893,199,883
HLA-DOA,HLA-DPB1,0.731977907173344,0.597162302398195,679,938
HLA-DPB1,HLA-DOA,0.731977907173344,0.597162302398195,679,938
HLA-DOA,HLA-DPB2,0.422314841814156,0.378058593609913,166,939
HLA-DPB2,HLA-DOA,0.422314841814156,0.378058593609913,166,939
HLA-DOA,HLA-DQA2,0.368053850303325,0.244914745358675,232,939
HLA-DQA2,HLA-DOA,0.368053850303325,0.244914745358675,232,939
HLA-DOA,HLA-DRA,0.411804062713494,0.23263600378228,484,939
HLA-DRA,HLA-DOA,0.411804062713494,0.23263600378228,484,939
HLA-DOA,HLA-DRB1,0.612740282575744,0.454542650992693,901,939
HLA-DRB1,HLA-DOA,0.612740282575744,0.454542650992693,901,939
HLA-DOA,HLA-DRB3,0.303391431921827,0.229548069582902,286,816
HLA-DRB3,HLA-DOA,0.303391431921827,0.229548069582902,286,816
HLA-DOA,HLA-DRB4,0.243098090641202,0.173498633481679,285,938
HLA-DRB4,HLA-DOA,0.243098090641202,0.173498633481679,285,938
HLA-DOA,HLA-DRB5,0.24851710659113,0.230577750773084,246,929
HLA-DRB5,HLA-DOA,0.24851710659113,0.230577750773084,246,929
HLA-DOA,HLA-F,0.377227851759029,0.218301543690329,386,897
HLA-F,HLA-DOA,0.377227851759029,0.218301543690329,386,897
HLA-DOA,HLA-H,0.431300061632278,0.249283593448699,330,725
HLA-H,HLA-DOA,0.431300061632278,0.249283593448699,330,725
HLA-DOA,HLA-K,0.249167883566971,0.249278983906756,183,723
HLA-K,HLA-DOA,0.249167883566971,0.249278983906756,183,723
HLA-DOA,HLA-L,0.203841730148216,0.237321399365559,161,897
HLA-L,HLA-DOA,0.203841730148216,0.237321399365559,161,897
HLA-DOA,HLA-N,0.280686882113982,0.622421797042623,84,208
HLA-N,HLA-DOA,0.280686882113982,0.622421797042623,84,208
HLA-DOA,HLA-S,0.550688318640573,0.554552583654599,50,44
HLA-S,HLA-DOA,0.550688318640573,0.554552583654599,50,44
HLA-DOA,HLA-V,0.309950454081586,0.376003034980271,91,246
HLA-V,HLA-DOA,0.309950454081586,0.376003034980271,91,246
HLA-DOA,HLA-W,0.29860638286427,0.2539174956847,242,834
HLA-W,HLA-DOA,0.29860638286427,0.2539174956847,242,834
HLA-DOB,HLA-C,0.389965574109124,0.399817189624993,368,913
HLA-C,HLA-DOB,0.389965574109124,0.399817189624993,368,913
HLA-DOB,HLA-DMB,0.234060067510148,0.218261624108099,104,908
HLA-DMB,HLA-DOB,0.234060067510148,0.218261624108099,104,908
HLA-DOB,HLA-DPB1,0.506856940001179,0.479476767869351,613,928
HLA-DPB1,HLA-DOB,0.506856940001179,0.479476767869351,613,928
HLA-DOB,HLA-DPB2,0.208943475467619,0.174117271978013,56,928
HLA-DPB2,HLA-DOB,0.208943475467619,0.174117271978013,56,928
HLA-DOB,HLA-DRA,0.335904835989502,0.293046606597112,260,928
HLA-DRA,HLA-DOB,0.335904835989502,0.293046606597112,260,928
HLA-DOB,HLA-DRB1,0.537783477773728,0.468306766796316,609,928
HLA-DRB1,HLA-DOB,0.537783477773728,0.468306766796316,609,928
HLA-DOB,HLA-DRB3,0.214510289492213,0.189883285551153,136,813
HLA-DRB3,HLA-DOB,0.214510289492213,0.189883285551153,136,813
HLA-DOB,HLA-DRB4,0.170534305062366,0.199112767530166,125,928
HLA-DRB4,HLA-DOB,0.170534305062366,0.199112767530166,125,928
HLA-DOB,HLA-DRB5,0.135755578221932,0.106573904134515,96,916
HLA-DRB5,HLA-DOB,0.135755578221932,0.106573904134515,96,916
HLA-DOB,HLA-F,0.246380395205,0.225177045178755,196,890
HLA-F,HLA-DOB,0.246380395205,0.225177045178755,196,890
HLA-DOB,HLA-L,0.101368808292724,0.131798646409207,49,893
HLA-L,HLA-DOB,0.101368808292724,0.131798646409207,49,893
HLA-DOB,HLA-N,0.167358670935147,0.199136777258788,30,208
HLA-N,HLA-DOB,0.167358670935147,0.199136777258788,30,208
HLA-DOB,HLA-S,0.516035661154626,0.441434004695632,26,44
HLA-S,HLA-DOB,0.516035661154626,0.441434004695632,26,44
HLA-DOB,HLA-V,0.1281430845408,0.146409607625566,39,247
HLA-V,HLA-DOB,0.1281430845408,0.146409607625566,39,247
HLA-DOB,HLA-W,0.165614607471271,0.13137072776454,100,833
HLA-W,HLA-DOB,0.165614607471271,0.13137072776454,100,833
HLA-DPA1,HLA-B,0.59390493968209,0.454241894663519,668,932
HLA-B,HLA-DPA1,0.59390493968209,0.454241894663519,668,932
HLA-DPA1,HLA-C,0.492915654704717,0.358187895316044,542,956
HLA-C,HLA-DPA1,0.492915654704717,0.358187895316044,542,956
HLA-DPA1,HLA-DMB,0.299953099534862,0.219858238791668,206,954
HLA-DMB,HLA-DPA1,0.299953099534862,0.219858238791668,206,954
HLA-DPA1,HLA-DOA,0.557839426259825,0.308071500211763,292,926
HLA-DOA,HLA-DPA1,0.557839426259825,0.308071500211763,292,926
HLA-DPA1,HLA-DOB,0.25895791388415,0.233104108286533,173,916
HLA-DOB,HLA-DPA1,0.25895791388415,0.233104108286533,173,916
HLA-DPA1,HLA-DPA2,0.653840256439242,0.601177171418788,119,965
HLA-DPA2,HLA-DPA1,0.653840256439242,0.601177171418788,119,965
HLA-DPA1,HLA-DPB1,0.935015844187507,0.631810408223335,461,980
HLA-DPB1,HLA-DPA1,0.935015844187507,0.631810408223335,461,980
HLA-DPA1,HLA-DPB2,0.564909664715818,0.611534347542183,121,981
HLA-DPB2,HLA-DPA1,0.564909664715818,0.611534347542183,121,981
