gene,correct,total,accuracy,class,subclass,cutoff,resolution
KIR2DL1,40,42,0.952,KIR,KIR2,0,1
KIR2DL2,2,2,1.0,KIR,KIR2,0,1
KIR2DL3,34,34,1.0,KIR,KIR2,0,1
KIR2DL4,42,44,0.955,KIR,KIR2,0,1
KIR2DP1,41,42,0.976,KIR,KIR2,0,1
KIR2DS1,2,2,1.0,KIR,KIR2,0,1
KIR2DS2,2,2,1.0,KIR,KIR2,0,1
KIR2DS3,2,2,1.0,KIR,KIR2,0,1
KIR2DS4,33,34,0.971,KIR,KIR2,0,1
KIR2DS5,2,2,1.0,KIR,KIR2,0,1
KIR3DL1,27,34,0.794,KIR,KIR3,0,1
KIR3DL2,49,52,0.942,KIR,KIR3,0,1
KIR3DL3,51,56,0.911,KIR,KIR3,0,1
KIR3DP1,3,4,0.75,KIR,KIR3,0,1
KIR2DL1,40,42,0.952,KIR,KIR2,5,1
KIR2DL2,2,2,1.0,KIR,KIR2,5,1
KIR2DL3,34,34,1.0,KIR,KIR2,5,1
KIR2DL4,42,44,0.955,KIR,KIR2,5,1
KIR2DP1,41,42,0.976,KIR,KIR2,5,1
KIR2DS1,2,2,1.0,KIR,KIR2,5,1
KIR2DS2,2,2,1.0,KIR,KIR2,5,1
KIR2DS3,2,2,1.0,KIR,KIR2,5,1
KIR2DS4,33,34,0.971,KIR,KIR2,5,1
KIR2DS5,2,2,1.0,KIR,KIR2,5,1
KIR3DL1,27,34,0.794,KIR,KIR3,5,1
KIR3DL2,49,52,0.942,KIR,KIR3,5,1
KIR3DL3,51,56,0.911,KIR,KIR3,5,1
KIR3DP1,3,4,0.75,KIR,KIR3,5,1
KIR2DL1,37,38,0.974,KIR,KIR2,10,1
KIR2DL2,2,2,1.0,KIR,KIR2,10,1
KIR2DL3,34,34,1.0,KIR,KIR2,10,1
KIR2DL4,36,38,0.947,KIR,KIR2,10,1
KIR2DP1,39,40,0.975,KIR,KIR2,10,1
KIR2DS1,2,2,1.0,KIR,KIR2,10,1
KIR2DS2,2,2,1.0,KIR,KIR2,10,1
KIR2DS3,2,2,1.0,KIR,KIR2,10,1
KIR2DS4,33,34,0.971,KIR,KIR2,10,1
KIR2DS5,2,2,1.0,KIR,KIR2,10,1
KIR3DL1,27,32,0.844,KIR,KIR3,10,1
KIR3DL2,49,52,0.942,KIR,KIR3,10,1
KIR3DL3,47,52,0.904,KIR,KIR3,10,1
KIR3DP1,1,2,0.5,KIR,KIR3,10,1
KIR2DL1,33,34,0.971,KIR,KIR2,15,1
KIR2DL2,2,2,1.0,KIR,KIR2,15,1
KIR2DL3,30,30,1.0,KIR,KIR2,15,1
KIR2DL4,33,34,0.971,KIR,KIR2,15,1
KIR2DP1,31,32,0.969,KIR,KIR2,15,1
KIR2DS1,2,2,1.0,KIR,KIR2,15,1
KIR2DS2,2,2,1.0,KIR,KIR2,15,1
KIR2DS3,2,2,1.0,KIR,KIR2,15,1
KIR2DS4,29,30,0.967,KIR,KIR2,15,1
KIR2DS5,2,2,1.0,KIR,KIR2,15,1
KIR3DL1,25,30,0.833,KIR,KIR3,15,1
KIR3DL2,49,52,0.942,KIR,KIR3,15,1
KIR3DL3,43,48,0.896,KIR,KIR3,15,1
KIR3DP1,1,2,0.5,KIR,KIR3,15,1
KIR2DL1,27,28,0.964,KIR,KIR2,20,1
KIR2DL2,2,2,1.0,KIR,KIR2,20,1
KIR2DL3,26,26,1.0,KIR,KIR2,20,1
KIR2DL4,27,28,0.964,KIR,KIR2,20,1
KIR2DP1,25,26,0.962,KIR,KIR2,20,1
KIR2DS1,2,2,1.0,KIR,KIR2,20,1
KIR2DS2,2,2,1.0,KIR,KIR2,20,1
KIR2DS4,27,28,0.964,KIR,KIR2,20,1
KIR2DS5,2,2,1.0,KIR,KIR2,20,1
KIR3DL1,21,26,0.808,KIR,KIR3,20,1
KIR3DL2,47,50,0.94,KIR,KIR3,20,1
KIR3DL3,34,36,0.944,KIR,KIR3,20,1
KIR3DP1,1,2,0.5,KIR,KIR3,20,1
